,url,title,bed,title2,location,badge,cancellation_policy,accommodates,amenity_Hướng nhìn đẹp mắt,amenity_Phòng tắm,amenity_Phòng ngủ và giặt ủi,amenity_Giải trí,amenity_Gia đình,amenity_Hệ thống sưởi và làm mát,amenity_Quyền riêng tư và an toàn,amenity_Internet và văn phòng,amenity_Đồ dùng nấu bếp và ăn uống,amenity_Các đặc điểm về vị trí,amenity_Ngoài trời,amenity_Chỗ đỗ xe và cơ sở vật chất,amenity_Dịch vụ,rating_Total,rating_Mức độ sạch sẽ,rating_Độ chính xác,rating_Nhận phòng,rating_Giao tiếp,rating_Vị trí,rating_Giá trị,price_per_night,prices_Phí vệ sinh,prices_Phí dịch vụ Airbnb,amenity_An toàn nhà ở,amenity_Không bao gồm,prices_Ưu đãi đặc biệt,prices_Giảm giá cho thời gian ở dài hạn,prices_Giảm giá cho khách đặt sớm
0,https://www.airbnb.com.vn/rooms/42141493?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1523233612&check_in=2023-12-13&check_out=2023-12-18&source_impression_id=p3_1702197356_gc5jI5AETyQXVV4C&previous_page_section_name=1000,"Chỗ ở một phòng ngủ đáng yêu tại Quận 1, TP.HCM",1 giường ·  · Phòng tắm khép kín,"Phòng tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,"Hủy miễn phí trước 14:00, 12 thg 12.",Tối đa 2 khách,['Hướng nhìn ra đường chân trời thành phố'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu Sunsilk', 'Dầu xả Sunsilk', 'Xà phòng tắm Lifebouy', 'Bồn cầu vệ sinh thông minh', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Đã thanh toán – Trong toà nhà', 'Máy sấy phí Đã thanh toán – Trong toà nhà', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Bàn là', 'Nơi để quần áo: tủ ngăn kéo']","['Kết nối Ethernet', '42"" HDTV với Netflix, truyền hình cáp tiêu chuẩn', 'Sách và ấn phẩm để đọc']","['Ghế ăn cho bé', 'Đề xuất người trông trẻ']","['Máy điều hòa không khí gắn trên cửa sổ', 'Quạt trần', 'Hệ thống sưởi']","['Khóa ở cửa phòng ngủ', 'Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']","['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Ấm đun nước nóng']",['Hiệu giặt ủi tự động gần đây'],['Sân hiên hoặc ban công chung'],"['Chỗ đỗ xe miễn phí tại nơi ở', 'Thang máy', 'Thiết bị sạc xe điện', 'Chỗ đỗ xe có thu phí trên đường, ngoài khuôn viên', 'Nhà để xe có thu phí, trong khuôn viên – 1 chỗ']","['Cho phép thú cưng', 'Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Nhân viên trực cửa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']","4,86 · 29 đánh giá","4,7","4,8","4,9","4,9","4,8","4,8",$20,$5,$15,,,,,
1,https://www.airbnb.com.vn/rooms/1040920967162272181?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-18&check_out=2023-12-23&source_impression_id=p3_1702197356_fpZjCppc7%2B36sJN8&previous_page_section_name=1000,Wabi Sabi + Secret Garden +Netflix @100m@Ben Thanh,2 khách ·  · Phòng studio ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Bạn được hoàn tiền một phần nếu hủy trước 11 thg 12.,Tối đa 2 khách,,"['Bồn tắm', 'Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm', 'Bồn cầu vệ sinh thông minh', 'Vòi sen tắm ngoài trời', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bàn là', 'Nơi để quần áo']","['Kết nối Ethernet', 'TV']",['Ghế ăn cho bé'],['Điều hòa nhiệt độ'],,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp', 'Lò nướng', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']",,"['Sân hoặc ban công', 'Sân sau', 'Khu vực ăn uống ngoài trời']","['Chỗ đỗ xe miễn phí tại nơi ở', 'Bồn tắm nước nóng', 'Chỗ đỗ xe ngoài khuôn viên, có thu phí', 'Chỗ đỗ xe có thu phí trong khuôn viên']","['Tự nhận phòng', 'Khóa thông minh']",,,,,,,,$41,$13,,['Camera an ninh trong nhà'],"['Không có: Máy sấy quần áo', 'Không có: Máy báo khói', 'Không có: Máy phát hiện khí CO', 'Không có: Hệ thống sưởi']",,,
2,https://www.airbnb.com.vn/rooms/744594831716635845?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1513686418&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702197356_uD4OQm7w2uz3R2Fv&previous_page_section_name=1000,"(Mới)*L21 @Cozy, Phòng nhìn ra thành phố,Quận 1,Thang máy",1 giường queen ·  · Phòng tắm khép kín,"Phòng tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 2 khách,['Hướng nhìn ra đường chân trời thành phố'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong toà nhà', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là']","['Kết nối Ethernet', '32"" HDTV với Netflix']",,['Điều hòa không khí – hệ thống hai cụm không ống gió'],"['Khóa ở cửa phòng ngủ', 'Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']","['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Tủ lạnh mini', 'Tủ đông', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']",,['Nội thất ngoài trời'],"['Chỗ đỗ xe miễn phí tại nơi ở', 'Thang máy']","['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']","4,73 · 26 đánh giá","4,8","4,8","4,8","4,8","4,6","4,6",$21,$4,$15,,"['Không có: Máy sấy phí Miễn phí – Trong toà nhà', 'Không có: Hệ thống sưởi']",,,
3,https://www.airbnb.com.vn/rooms/1015123164033448043?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-07&check_out=2024-01-12&source_impression_id=p3_1702197356_%2FktbSFyw5y3Oh0Si&previous_page_section_name=1000,Máy chiếu•Bếp• Đèn nội thất ~5 phút đến Bùi Viện,2 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Được khách
yêu thích",Hủy miễn phí trong 48 giờ.,Tối đa 2 khách,['Hướng nhìn ra sân trong'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm Hazeline', 'Nước nóng', 'Sữa tắm']","['Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo']","['100"" HDTV với Netflix', 'Phòng theo chủ đề', 'Trò chơi kích thước lớn']","['Chấn song cửa sổ', 'Các trò chơi với bảng/bàn cờ']",['Hệ thống điều hòa trung tâm'],,"['Wi-fi nhanh – 166 Mbps', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh Beko 90L', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Bếp điện Bear', 'Ấm đun nước nóng', 'Ly uống rượu vang', 'Bàn ăn', 'Cà phê']",['Hiệu giặt ủi tự động gần đây'],"['Sân hiên hoặc ban công riêng', 'Sân sau', 'Nội thất ngoài trời', 'Khu vực ăn uống ngoài trời']","['Chỗ đỗ xe miễn phí tại nơi ở', 'Miễn phí đỗ xe trên đường/phố', 'Bãi đỗ xe có thu phí, ngoài khuôn viên', 'Bãi đỗ xe có thu phí, trong khuôn viên']","['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']",,,,,,,,$32,$7,$24,"['Camera an ninh trong nhà', 'Bình chữa cháy', 'Bộ sơ cứu']","['Không có: Máy giặt', 'Không có: Máy sấy quần áo', 'Không có: Máy báo khói', 'Không có: Máy phát hiện khí CO', 'Không có: Hệ thống sưởi']",,,
4,https://www.airbnb.com.vn/rooms/744595478512900540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702197356_p70md8hBTeagtOCQ&previous_page_section_name=1000,"(Mới)*L13@Ấm áp, phòng tắm riêng, Quận 1, Thang máy",1 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm riêng,"Phòng riêng tại nhà tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 1 khách,['Hướng nhìn ra vườn'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Đã thanh toán – Trong toà nhà', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Màn chống muỗi']","['32"" HDTV với Netflix']",,['Điều hòa không khí – hệ thống hai cụm không ống gió'],,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Tủ lạnh mini', 'Tủ đông', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']","['Lối vào riêng', 'Hiệu giặt ủi tự động gần đây']","['Sân hiên hoặc ban công riêng', 'Nội thất ngoài trời', 'Khu vực ăn uống ngoài trời']","['Chỗ đỗ xe miễn phí tại nơi ở', 'Thang máy']","['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']","4,74 · 31 đánh giá","4,7","4,9","4,8","4,9","4,7","4,7",$17,$4,$13,"['Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']","['Không có: Máy sấy phí Miễn phí – Trong toà nhà', 'Không có: Hệ thống sưởi']",,,
5,https://www.airbnb.com.vn/rooms/1038301522241010029?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702197356_ZnjB%2FxXlxA5cJofT&previous_page_section_name=1000,Studio KHUYẾN MÃI LỚN @Madison/JapanTown/nhà bếp/máy giặt,3 khách ·  · Phòng studio ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 3 khách,['Hướng nhìn ra thung lũng'],"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong căn hộ', 'Máy sấy quần áo', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Nơi để quần áo']","['TV', 'Thiết bị tập thể dục: tạ tay, máy tập đạp xe, máy chạy bộ, thảm yoga']","['Bộ dụng cụ ăn uống cho trẻ em', 'Sân chơi ngoài trời']","['Điều hòa nhiệt độ', 'Hệ thống sưởi']",,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp điện', 'Ấm đun nước nóng', 'Ly uống rượu vang', 'Nồi cơm điện', 'Bàn ăn', 'Cà phê']",,"['Sân hiên hoặc ban công chung', 'Sân sau', 'Nội thất ngoài trời', 'Khu vực ăn uống ngoài trời', 'Ghế tắm nắng']","['Hồ bơi Chung', 'Thang máy', 'Phòng thể hình chung trong tòa nhà', 'Chỗ đỗ xe ngoài khuôn viên, có thu phí', 'Bãi đỗ xe có thu phí, trong khuôn viên', 'Nhà một tầng']","['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']",,,,,,,,$45,$10,$33,"['Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']",['Không có: Camera an ninh trong nhà'],-$57,,
6,https://www.airbnb.com.vn/rooms/643684464138714131?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1417279926&check_in=2023-12-13&check_out=2023-12-18&source_impression_id=p3_1702197356_Ma1mMQKASjOYrokO&previous_page_section_name=1000,Wabi Sabi Homestay số 2,1 giường ·  · Phòng tắm khép kín,"Phòng tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Bạn được hoàn tiền một phần nếu hủy trước khi nhận phòng lúc 13 thg 12.,Tối đa 2 khách,,"['Bồn tắm', 'Máy sấy tóc', 'Dầu gội đầu', 'Xà phòng tắm', 'Bồn cầu vệ sinh thông minh', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Đã thanh toán – Trong toà nhà', 'Máy sấy phí Đã thanh toán – Trong toà nhà', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Bàn là']",['HDTV với Netflix'],,['Điều hòa nhiệt độ'],"['Khóa ở cửa phòng ngủ', 'Camera an ninh trong nhà', 'Bình chữa cháy', 'Bộ sơ cứu']","['Wi-fi', 'Không gian riêng để làm việc']","['Tủ lạnh', 'Tủ lạnh mini', 'Cà phê']",,['Sân sau'],,"['Cho phép gửi hành lý', 'Tự nhận phòng', 'Hộp khóa']","4,74 · 27 đánh giá","4,8","4,8","4,8","4,9","4,9","4,9",$29,,$20,,"['Không có: Bếp', 'Không có: Máy báo khói', 'Không có: Máy phát hiện khí CO', 'Không có: Hệ thống sưởi']",,-$8,
7,https://www.airbnb.com.vn/rooms/972838312309855510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-11&check_out=2023-12-16&source_impression_id=p3_1702197356_RRDk5Tlcp99b0t4q&previous_page_section_name=1000,°o°,3 khách ·  · Phòng studio ·  · 2 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Quận 3, Việt Nam","Quận 3, Thành phố Hồ Chí Minh, Việt Nam",,Đặt phòng/đặt chỗ này không được hoàn tiền.,Tối đa 3 khách,,"['Bồn tắm', 'Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm', 'Bồn cầu vệ sinh thông minh', 'Vòi sen tắm ngoài trời', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bàn là', 'Nơi để quần áo']","['Kết nối Ethernet', 'TV']",['Ghế ăn cho bé'],['Điều hòa nhiệt độ'],,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp', 'Lò nướng Lò nướng đơn', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']",,"['Sân hiên hoặc ban công riêng', 'Sân sau riêng – Có hàng rào kín', 'Khu vực ăn uống ngoài trời']","['Nhà để xe miễn phí, trong khuôn viên – 1 chỗ', 'Bồn tắm nước nóng riêng – có sẵn hoặc phục vụ quanh năm, mở cửa 24 giờ', 'Bãi đỗ xe có thu phí, ngoài khuôn viên', 'Chỗ đỗ xe có thu phí trong khuôn viên']","['Tự nhận phòng', 'Khóa thông minh']","4,55 · 11 đánh giá","4,6","4,5","4,5","4,5","4,4","4,5",$36,$15,,['Camera an ninh trong nhà'],"['Không có: Máy báo khói', 'Không có: Máy phát hiện khí CO', 'Không có: Lối vào riêng', 'Không có: Hệ thống sưởi']",,,
8,https://www.airbnb.com.vn/rooms/1041694142625239446?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-24&check_out=2023-12-29&source_impression_id=p3_1702197356_C4f%2FTlEzaR10QHhD&previous_page_section_name=1000,Căn hộ ấm cúng Giường cỡ Queen Ban công,2 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Quận 1, Việt Nam","Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Hủy miễn phí trước 19 thg 12.,Tối đa 2 khách,,"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Máy sấy quần áo', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Két sắt', 'Nơi để quần áo']",['TV'],,"['Điều hòa nhiệt độ', 'Quạt trần']",,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Bếp', 'Ấm đun nước nóng', 'Bàn ăn', 'Cà phê']",['Hiệu giặt ủi tự động gần đây'],,['Thang máy'],"['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Bàn phím']",,,,,,,,$21,$7,$16,"['Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy']",['Không có: Hệ thống sưởi'],,,
9,https://www.airbnb.com.vn/rooms/594779515545305444?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-18&check_out=2023-12-23&source_impression_id=p3_1702197356_5FcxZLuoMNM8R24G&previous_page_section_name=1000,Căn hộ dễ thương Kiyo13 trong khu phố Nhật giữa SG,2 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm riêng,,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",,Bạn được hoàn tiền một phần nếu hủy trước 11 thg 12.,Tối đa 2 khách,,"['Bồn tắm', 'Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Két sắt', 'Nơi để quần áo: tủ quần áo']",['TV với Netflix'],,"['Điều hòa nhiệt độ', 'Quạt trần']",,"['Wi-fi', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Bếp', 'Ấm đun nước nóng', 'Nồi cơm điện', 'Bàn ăn']",,['Sân hiên hoặc ban công chung'],['Bồn tắm nước nóng riêng'],"['Cho phép gửi hành lý', 'Cho phép ở dài hạn']","4,63 · 40 đánh giá",,,,,,,$28,,$20,"['Camera an ninh trong nhà', 'Máy báo khói', 'Bình chữa cháy', 'Bộ sơ cứu']","['Không có: Máy sấy quần áo', 'Không có: Máy phát hiện khí CO', 'Không có: Hệ thống sưởi']",,,
