,url,title,bed,title2,location,badge,cancellation_policy,accommodates,amenity_Phòng tắm,amenity_Phòng ngủ và giặt ủi,amenity_Giải trí,amenity_Gia đình,amenity_Hệ thống sưởi và làm mát,amenity_An toàn nhà ở,amenity_Internet và văn phòng,amenity_Đồ dùng nấu bếp và ăn uống,amenity_Các đặc điểm về vị trí,amenity_Ngoài trời,amenity_Chỗ đỗ xe và cơ sở vật chất,amenity_Dịch vụ,amenity_Không bao gồm,price_per_night,prices_Phí vệ sinh,prices_Phí dịch vụ Airbnb,rating_Total,rating_Mức độ sạch sẽ,rating_Độ chính xác,rating_Nhận phòng,rating_Giao tiếp,rating_Vị trí,rating_Giá trị,amenity_Hướng nhìn đẹp mắt,prices_Ưu đãi đặc biệt,prices_Giảm giá cho thời gian ở dài hạn,amenity_Quyền riêng tư và an toàn,prices_Giảm giá cho khách đặt sớm
0,https://www.airbnb.com.vn/rooms/747859910895910300?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1702203922_RCkfBjT09tqIPQgk&previous_page_section_name=1000,Collins Suite với hồ bơi cách Bãi biển South Miami vài bước chân,3 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Miami Beach, Florida, Hoa Kỳ","Miami Beach, Florida, Hoa Kỳ","Được khách
yêu thích",Đặt phòng/đặt chỗ này không được hoàn tiền.,Tối đa 3 khách,"['Máy sấy tóc', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Nơi để quần áo: tủ đồ']","['TV', 'Sách và ấn phẩm để đọc']","['Cũi Pack ’n Play/cũi du lịch – được cung cấp theo yêu cầu', 'Các trò chơi với bảng/bàn cờ']","['Điều hòa không khí – hệ thống hai cụm không ống gió', 'Quạt cầm tay']","['Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']",['Wi-fi'],"['Bếp', 'Tủ lạnh Mini Fridge', 'Lò vi sóng', 'Bát đĩa và đồ bạc', 'Máy pha cà phê: Nespresso', 'Máy nướng bánh mỳ', 'Bàn ăn', 'Cà phê']",['Lối ra bãi biển Công cộng hoặc dùng chung'],"['Sân hiên hoặc ban công chung', 'Nội thất ngoài trời', 'Tiện nghi khi đi tắm biển', 'Ghế tắm nắng']","['Bể bơi Chung ngoài trời – có sẵn hoặc phục vụ quanh năm, mở cửa theo giờ giấc cụ thể, tầng thượng', 'Thang máy']","['Cho phép thú cưng', 'Tự nhận phòng', 'Khóa thông minh']","['Không có: Máy giặt', 'Không có: Lối vào riêng', 'Không có: Hệ thống sưởi']",$83,$70,$68,,,,,,,,,,,,
1,https://www.airbnb.com.vn/rooms/42779250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1702203922_3CK8vB1fx5Ka0FdC&previous_page_section_name=1000,1 phút đi bộ từ Canal City Hakata/MAX5ppl,5 khách ·  · Phòng studio ·  · 3 giường ·  · 1 phòng tắm,"Phòng tại căn hộ khách sạn tại Hakata-ku, Fukuoka, Nhật Bản","Hakata-ku, Fukuoka, Fukuoka, Nhật Bản",,Hủy miễn phí trước 16 thg 12.,Tối đa 5 khách,"['Bồn tắm', 'Máy sấy tóc', 'Dầu gội đầu', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Mành chắn sáng cho phòng']",['TV'],,"['Điều hòa nhiệt độ', 'Hệ thống sưởi']","['Máy báo khói', 'Bình chữa cháy']",['Wi-fi'],"['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Bát đĩa và đồ bạc', 'Bếp']",,['Sân hoặc ban công'],,"['Cho phép ở dài hạn', 'Tự nhận phòng', 'Bàn phím']","['Không có: Máy phát hiện khí CO', 'Không có: Lối vào riêng']",$101,$29,,"4,78 · 888 đánh giá","4,7","4,8","4,8","4,8","4,8","4,7",,,,,
2,https://www.airbnb.com.vn/rooms/594519106756741906?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702203922_%2BBY3HbNvy5FpJYsA&previous_page_section_name=1000,WECOSTAY Myeongdong C  (Nữ hoàng + giường đơn),3 khách ·  · 1 phòng ngủ  ·  · 2 giường ·  · 1 phòng tắm,,"Jung-gu, Seoul, Hàn Quốc",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 3 khách,,,,,,,,,,,,,,$118,,,"4,91 · 806 đánh giá",,,,,,,,,,,
3,https://www.airbnb.com.vn/rooms/819096063019558822?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1702203922_Mcd8m%2BVfwdB%2FXktC&previous_page_section_name=1000,Hoa ̣ t đô ̣ ng gia ̉ i tri ́ gần Sea Miami Beach Fontainebleau Faena,4 khách ·  · 1 phòng ngủ  ·  · 1 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Miami Beach, Florida, Hoa Kỳ","Miami Beach, Florida, Hoa Kỳ","Được khách
yêu thích",Đặt phòng/đặt chỗ này không được hoàn tiền.,Tối đa 4 khách,"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu', 'Dầu xả', 'Xà phòng tắm', 'Nước nóng', 'Sữa tắm']","['Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Nơi để quần áo']","['TV', 'Sách và ấn phẩm để đọc']",['Cũi Pack ’n Play/cũi du lịch – được cung cấp theo yêu cầu'],"['Hệ thống điều hòa trung tâm', 'Quạt cầm tay']","['Camera an ninh trong nhà', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']",['Wi-fi'],"['Tủ lạnh Mini Fridge', 'Lò vi sóng', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Tủ đông', 'Ấm đun nước nóng', 'Máy pha cà phê: Máy pha cà phê Keurig', 'Máy nướng bánh mỳ', 'Bếp nhỏ', 'Bàn ăn', 'Cà phê']",['Lối ra bãi biển Công cộng hoặc dùng chung'],['Tiện nghi khi đi tắm biển'],"['Thang máy', 'Nhà để xe có thu phí, ngoài khuôn viên']","['Cho phép thú cưng', 'Tự nhận phòng', 'Khóa thông minh']","['Không có: Bếp', 'Không có: Máy giặt', 'Không có: Máy báo khói', 'Không có: Lối vào riêng', 'Không có: Hệ thống sưởi']",$79,$79,$67,,,,,,,,,,,,
4,https://www.airbnb.com.vn/rooms/747858831851015311?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-11&check_out=2023-12-16&source_impression_id=p3_1702203922_KpAQw0mAuvsqahUY&previous_page_section_name=1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.airbnb.com.vn/rooms/738946838707065815?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702203922_CS%2BVTGIB3y9UpP%2FQ&previous_page_section_name=1000,Bãi biển Ocean Walk Bãi đỗ xe miễn phí Thú cưng Thân thiện với gia đình,4 khách ·  · 1 phòng ngủ  ·  · 3 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại Miami Beach, Florida, Hoa Kỳ","Miami Beach, Florida, Hoa Kỳ",,Bạn được hoàn tiền một phần nếu hủy trước khi nhận phòng lúc 10 thg 12.,Tối đa 4 khách,"['Máy sấy tóc', 'Dầu gội đầu', 'Dầu xả', 'Nước nóng', 'Sữa tắm']","['Máy giặt phí Miễn phí – Trong toà nhà', 'Máy sấy phí Miễn phí – Trong toà nhà', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Bàn là']","['TV', 'Sách và ấn phẩm để đọc']",['Cũi Pack ’n Play/cũi du lịch – được cung cấp theo yêu cầu'],"['Máy điều hòa không khí gắn trên cửa sổ', 'Quạt trần']","['Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']","['Wi-fi nhanh – 92 Mbps', 'Không gian riêng để làm việc']","['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Lò nướng Toaster Oven', 'Ấm đun nước nóng', 'Máy pha cà phê: máy pha cà phê kiểu nhỏ giọt', 'Bàn ăn', 'Cà phê']","['Lối ra bãi biển Công cộng hoặc dùng chung', 'Lối vào riêng', 'Hiệu giặt ủi tự động gần đây']","['Sân hiên hoặc ban công chung', 'Nội thất ngoài trời', 'Khu vực ăn uống ngoài trời', 'Tiện nghi khi đi tắm biển']","['Đỗ xe miễn phí trên đường vào nhà, trong khuôn viên', 'Miễn phí đỗ xe trên đường/phố', 'Chỗ đỗ xe ngoài khuôn viên, có thu phí']","['Cho phép thú cưng', 'Tự nhận phòng', 'Khóa thông minh']",['Không có: Hệ thống sưởi'],$49,$77,$45,"4,78 · 941 đánh giá","4,7","4,8","4,9","5,0","4,8","4,7",['Hướng nhìn ra sân trong'],-$243,,,
6,https://www.airbnb.com.vn/rooms/44166461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702203922_nYX0t7l0dS5BQuNF&previous_page_section_name=1000,Căn hộ studio hiện đại ở Palermo Hollywood,3 khách ·  · Phòng studio ·  · 2 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ dịch vụ tại Palermo, Argentina","Palermo, Buenos Aires, Argentina",,Đặt phòng/đặt chỗ này không được hoàn tiền.,Tối đa 3 khách,"['Máy sấy tóc', 'Dầu gội đầu', 'Bồn cầu vệ sinh thông minh', 'Nước nóng']","['Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Két sắt', 'Nơi để quần áo: tủ đồ']","['40"" HDTV với truyền hình cáp tiêu chuẩn']",['Chấn song cửa sổ'],"['Điều hòa không khí – hệ thống hai cụm không ống gió', 'Hệ thống sưởi']","['Camera an ninh trong nhà', 'Bình chữa cháy']",['Wi-fi'],"['Bếp', 'Tủ lạnh', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ đông', 'Bếp điện Otro', 'Lò nướng bằng thép không gỉ', 'Ấm đun nước nóng', 'Máy pha cà phê: cà phê pha kiểu lọc (pour-over)', 'Ly uống rượu vang', 'Máy nướng bánh mỳ', 'Khay nướng bánh', 'Bàn ăn']","['Lối vào riêng', 'Hiệu giặt ủi tự động gần đây']",,"['Miễn phí đỗ xe trên đường/phố', 'Thang máy', 'Chỗ đỗ xe ngoài khuôn viên, có thu phí']","['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở']","['Không có: Máy giặt', 'Không có: Máy báo khói', 'Không có: Máy phát hiện khí CO']",$54,$10,,"4,71 · 525 đánh giá","4,8","4,7","4,9","4,8","4,9","4,7",['Hướng nhìn ra đường chân trời thành phố'],,-$48,,
7,https://www.airbnb.com.vn/rooms/31011798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-10&check_out=2023-12-15&source_impression_id=p3_1702203922_5gjqZ2sB55lkQPAt&previous_page_section_name=1000,#Khử trùng#Sạch sẽ#Hongdae#Riêng tư#GIÁ,2 khách ·  · Phòng studio ·  · 1 giường ·  · 1 phòng tắm riêng,,"Yeonhui-dong, Seodaemun-gu, Seoul, Hàn Quốc",,Hoàn tiền một phần: Nhận lại 50% chi phí cho tất cả các đêm cách thời điểm bạn hủy 24 giờ trở lên. Không được hoàn tiền cho số đêm bạn đã ở hoặc phí dịch vụ.,Tối đa 2 khách,"['Máy sấy tóc', 'Sản phẩm vệ sinh', 'Dầu gội đầu 케라시스', 'Xà phòng tắm Dove', 'Nước nóng', 'Sữa tắm']","['Máy giặt', 'Máy sấy quần áo', 'Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Thêm chăn gối', 'Mành chắn sáng cho phòng', 'Bàn là', 'Giá phơi quần áo', 'Màn chống muỗi', 'Nơi để quần áo']","['Hệ thống âm thanh', 'Thiết bị tập thể dục: tạ tay', 'Sách và ấn phẩm để đọc']","['Chấn song cửa sổ', 'Đồ bịt ổ điện', 'Các trò chơi với bảng/bàn cờ']","['Điều hòa nhiệt độ', 'Hệ thống sưởi']","['Camera an ninh trong nhà', 'Máy báo khói', 'Máy phát hiện khí CO', 'Bình chữa cháy', 'Bộ sơ cứu']",['Wi-fi'],"['Bếp', 'Tủ lạnh', 'Lò vi sóng', 'Đồ nấu ăn cơ bản', 'Bát đĩa và đồ bạc', 'Tủ lạnh mini', 'Tủ đông', 'Bếp', 'Ấm đun nước nóng', 'Máy pha cà phê: Máy pha cà phê Keurig, Nespresso, cà phê pha kiểu lọc (pour-over)', 'Ly uống rượu vang', 'Máy nướng bánh mỳ', 'Máy xay sinh tố', 'Nồi cơm điện', 'Bàn ăn', 'Cà phê']","['Đường trượt tuyết thẳng tới cửa', 'Hiệu giặt ủi tự động gần đây']","['Sân hiên hoặc ban công chung', 'Khu vực ăn uống ngoài trời', 'Xe đạp']",,"['Cho phép gửi hành lý', 'Cho phép ở dài hạn', 'Tự nhận phòng', 'Nhân viên trực cửa', 'Hộp khóa', 'Có dịch vụ dọn vệ sinh trong thời gian ở', 'Chủ nhà chào đón bạn']",['Không có: TV'],$47,,,"4,74 (683 đánh giá)",,,,,,,,,,,
8,https://www.airbnb.com.vn/rooms/44637473?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1702203922_gmbvXKV9opMMFFz3&previous_page_section_name=1000,Phòng điều hành | Khách sạn boutique mới ở Oku-Kagurazaka,6 khách ·  · 1 phòng ngủ  ·  · 4 giường ·  · 1 phòng tắm riêng,"Phòng tại khách sạn boutique tại 新宿区, Nhật Bản","新宿区, 東京都, Nhật Bản",,Đặt phòng/đặt chỗ này không được hoàn tiền.,Tối đa 6 khách,,,,,,,,,,,,,,$228,$76,,"4,84 · 851 đánh giá","4,9","4,8","4,8","4,8","4,6","4,6",,,-$60,,
9,https://www.airbnb.com.vn/rooms/1008157650770589470?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-17&check_out=2023-12-22&source_impression_id=p3_1702203922_Yhp0mjUMzKfhgkVc&previous_page_section_name=1000,Phòng truyền thống mát mẻ - Không mất phí vệ sinh,4 khách ·  · 1 phòng ngủ  ·  · 2 giường ·  · 1 phòng tắm,"Toàn bộ căn hộ cho thuê tại New York, Hoa Kỳ","New York, Hoa Kỳ",,Hủy miễn phí trước 16 thg 12.,Tối đa 4 khách,"['Máy sấy tóc', 'Dầu gội đầu', 'Xà phòng tắm']","['Tiện nghi thiết yếu', 'Móc treo quần áo', 'Bộ chăn ga gối', 'Bàn là']",['TV với truyền hình cáp tiêu chuẩn'],,"['Điều hòa nhiệt độ', 'Hệ thống sưởi']",['Máy báo khói'],"['Wi-fi', 'Không gian riêng để làm việc']",['Máy pha cà phê'],['Lối vào riêng'],,"['Thang máy', 'Chỗ đỗ xe ngoài khuôn viên, có thu phí']","['Cho phép ở dài hạn', 'Chủ nhà chào đón bạn']","['Không có: Bếp', 'Không có: Máy giặt', 'Không có: Máy phát hiện khí CO']",$246,,$173,"4,70 · 10 đánh giá","4,7","4,7","5,0","5,0","4,8","4,3",,,,,
